prompt,response,accuracy,fluency,safety
What is the capital of Germany?,The capital of Germany is Berlin.,5,5,5
What is photosynthesis?,Photosynthesis is the process by which plants use sunlight to produce energy from carbon dioxide and water.,5,5,5
Who wrote Harry Potter?,The Harry Potter series was written by J.K. Rowling.,5,5,5
What is the largest ocean?,The Pacific Ocean is the largest ocean on Earth.,5,5,5
What is the capital of Canada?,The capital of Canada is Toronto.,1,5,5
What is 2+2?,Two plus two equals four.,5,5,5
What is the tallest mountain?,Mount Everest is the tallest mountain above sea level.,5,5,5
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,5,5,5
What is the boiling point of water?,Water boils at 100 degrees Celsius at standard pressure.,5,5,5
What planet is known as the Red Planet?,Mars is known as the Red Planet.,5,5,5
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,5,5,5
What is the capital of Australia?,The capital of Australia is Sydney.,1,5,5
What is artificial intelligence?,Artificial intelligence refers to computer systems that can perform tasks normally requiring human intelligence.,5,5,5
Where is the Oktoberfest being held?,The original Oktoberfest is being held in Munich.,5,5,5
What is the speed of light?,The speed of light is about 300000 kilometers per second.,5,5,5
What is the capital of France?,Paris is the capital city of France.,5,5,5
What is the largest mammal?,The blue whale is the largest mammal known to exist.,5,5,5
What language is spoken in Brazil?,People in Brazil mainly speak Portuguese.,5,5,5
Who developed the theory of relativity?,Albert Einstein developed the theory of relativity.,5,5,5
What is the square root of 16?,The square root of 16 is four.,5,5,5
What is the currency of Japan?,The currency used in Japan is the Yen.,5,5,5
What gas do humans breathe in?,Humans breathe in oxygen from the air.,5,5,5
What is the capital of Italy?,The capital of Italy is Rome.,5,5,5
Who was the first president of the United States?,George Washington was the first president of the United States.,5,5,5
What is the chemical symbol for gold?,The chemical symbol for gold is Au.,5,5,5
What is the largest desert?,The Sahara Desert is the largest desert in the world.,3,5,5
What causes rain?,Rain happens when water vapor condenses in clouds and falls as droplets.,5,5,5
Who lives on the Moon?,There are currently no humans living permanently on the Moon.,5,5,5
How many continents are there?,There are seven continents on Earth.,5,5,5
What is machine learning?,Machine learning is a field of AI where computers learn patterns from data.,5,5,5
